"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Malik Turner","DAL","0.0","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Malik Taylor","GB","0.0","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Cedrick Wilson","DAL","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Isaac Whitney","ARI","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Gehrig Dieter","KC","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Marcus Kemp","KC","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Trenton Irwin","CIN","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Vyncint Smith","NYJ","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Darrius Shepherd","KC","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Jeff Badet","ATL","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Stanley Morgan Jr.","CIN","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"John Hightower","PHI","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Nsimba Webster","SF","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Isaiah Coulter","HOU","0.0","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Chris Rowland","ATL","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Josh Malone","NYJ","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Robert Foster","MIA","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Cyril Grayson Jr.","TB","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Marcell Ateman","LV","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Antonio Callaway","KC","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Chad Hansen","DET","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Lawrence Cager","NYJ","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Laquon Treadwell","JAC","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"River Cracraft","SF","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Trent Sherfield","SF","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"John Ursua","SEA","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Darvin Kidsy","SEA","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Chad Williams","KC","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Kevin White","SF","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"KhaDarel Hodge","CLE","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"K.J. Osborn","MIN","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"DeAndre Carter","WAS","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Dan Chisena","MIN","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Derrick Willies","CLE","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Alexander Hollins","CLE","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Jordan Matthews","SF","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Dante Pettis","NYG","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Ja'Marcus Bradley","CLE","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"JoJo Natson","CLE","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Noah Brown","DAL","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Andre Roberts","HOU","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Cody Hollister","TEN","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Isaiah Wright","WAS","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Fred Brown","TEN","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Keelan Doss","LV","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Ashton Dulin","IND","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Marvin Hall","NE","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Austin Mack","NYG","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"K.J. Hill Jr.","LAC","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Jake Lampman","NO","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"C.J. Board","NYG","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Isaiah Zuber","NE","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Tyrie Cleveland","DEN","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Keith Kirkwood","CAR","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.1"
"Jason Moore","LAC","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Brandon Zylstra","CAR","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.1"
"Tanner Gentry","BUF","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Ishmael Hyman","CAR","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.1"
"James Proche","BAL","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.1"
"Justin Hardy","CHI","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.1"
"Tavon Austin","JAC","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.1"
"Ryan Switzer","CLE","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.1"
"Pharoh Cooper","JAC","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.1"
""
""
